ym,local,bill,rsn,cnt,amt
﻿201809,15,7,2,17,235000
﻿201809,15,7,6,23,604000
﻿201809,16,2,6,1,25000
﻿201809,16,3,1,1,2000
﻿201809,16,3,2,9,27000
﻿201809,17,3,2,1,5000
﻿201809,17,6,6,1,22000
﻿201809,17,7,2,19,496000
﻿201809,18,1,4,1,7000
﻿201809,18,3,6,1,5000
﻿201809,18,6,6,1,6000
﻿201809,18,7,1,1,85000
﻿201809,19,2,6,1,20000
﻿201809,19,3,2,1,5000
﻿201809,19,7,6,1,20000
﻿201809,21,7,1,2,100000
﻿201809,21,7,4,2,20000
﻿201809,24,7,2,2,384000
﻿201809,29,2,2,1,35000
﻿201809,29,7,2,11,210000
﻿201809,2J,2,2,1,50000
﻿201809,2J,7,2,8,201000
﻿201809,38,1,2,1,15000
﻿201809,38,3,4,1,5000
﻿201809,38,4,4,2,11000
﻿201809,38,7,2,1,300000
﻿201809,38,7,6,6,280000
﻿201809,39,7,2,18,351000
﻿201809,3H,1,1,1,101000
﻿201809,3K,4,6,1,1000
﻿201809,41,6,1,1,1000000
﻿201809,47,1,2,5,104000
﻿201809,47,1,4,1,25000
﻿201809,47,3,1,2,6000
﻿201809,47,3,2,4,12000
﻿201809,47,3,4,15,39000
﻿201809,47,7,1,4,50000
﻿201809,47,7,2,17,785000
﻿201809,47,7,4,1,390000
﻿201809,48,1,1,1,25000
﻿201809,49,6,6,1,22000
﻿201809,49,7,2,2,21000
﻿201809,49,7,4,3,60000
﻿201809,4A,3,6,1,3000
﻿201809,4A,6,1,1,8000
﻿201809,4A,6,6,1,4000
﻿201809,4B,7,2,4,79000
﻿201809,4C,7,2,41,1270000
﻿201809,4D,2,2,1,60000
﻿201809,4D,6,1,1,2000
﻿201809,4D,7,1,7,225000
﻿201809,4D,7,2,51,1060000
﻿201809,4F,3,1,1,5000
﻿201809,4F,3,6,1,3000
﻿201809,4F,6,2,2,40000
﻿201809,4F,7,4,1,27000
﻿201809,4G,6,1,1,2000
﻿201809,4H,7,4,1,63000
﻿201809,4J,7,2,17,385000
﻿201809,4K,4,4,14,275000
﻿201809,4K,7,2,1,800000
﻿201809,4L,3,2,5,15000
﻿201809,4P,3,4,4,12000
﻿201809,4R,7,2,19,1740000
﻿201809,4S,1,1,1,20000
﻿201809,4S,1,2,1,8000
﻿201809,4S,2,2,1,10000
﻿201809,4S,4,4,5,4000
﻿201809,4S,4,6,1,1000
﻿201809,4Y,2,4,2,13000
﻿201809,4Y,3,1,1,3000
﻿201809,4Y,3,2,2,6000
﻿201809,4Y,7,4,1,24000
﻿201809,51,1,1,4,99000
﻿201809,51,1,2,2,27000
﻿201809,51,1,6,1,25000
﻿201809,51,6,6,1,7000
﻿201809,51,7,1,2,156000
﻿201809,56,3,2,1,5000
﻿201809,56,7,1,19,313000
﻿201809,56,7,2,17,515000
